"state_abbr","state_fips","place_fips","stpl_fips","city_name","metric_name","group_name","metric_number","group_number","num","denom","est","lci","uci","county_indicator","educ_indicator","multiplier_indicator","data_yr_type","geo_level","date_export","version","NOTE - NCHS Disclaimer","Suggested Citation"
WI,55,02375,5502375,Appleton,Absenteeism,total population,1,1,1266,11638,10.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,"The downloadable data tables shared on the City Health Dashboard website were not released as a micro-level downloadable datasets from NCHS/RDC, rather .csv aggregated data tables whose analyses were conducted per NCHS disclosure requirements in a secure environment and released as approved output. The findings and conclusions on this website are those of the author(s) and do not represent the views of the Research Data Center, the National Center for Health Statistics, or the Centers for Disease Control and Prevention. NCHS does not recommend further analysis of these tables because linking them to individually identifiable data from other NCHS or non-NCHS datasets could potentially cause disclosure. If you believe a disclosure has occurred please contact info@cityhealthdashboard.com and RDCA@cdc.gov.","Department of Population Health, NYU Langone Health. City Health Dashboard. https://www.cityhealthdashboard.com/. Accessed [INSERT DATE OF ACCESS]."
WI,55,22300,5522300,Eau Claire,Absenteeism,total population,1,1,1863,9890,18.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,31000,5531000,Green Bay,Absenteeism,total population,1,1,2975,13155,22.6,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,37825,5537825,Janesville,Absenteeism,total population,1,1,1510,5878,25.7,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,39225,5539225,Kenosha,Absenteeism,total population,1,1,2562,10886,23.5,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,40775,5540775,La Crosse,Absenteeism,total population,1,1,678,3431,19.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,48000,5548000,Madison,Absenteeism,total population,1,1,3684,15987,23,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,53000,5553000,Milwaukee,Absenteeism,total population,1,1,12888,24978,51.6,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,60500,5560500,Oshkosh,Absenteeism,total population,1,1,928,7166,13,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,66000,5566000,Racine,Absenteeism,total population,1,1,3000,8245,36.4,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,84250,5584250,Waukesha,Absenteeism,total population,1,1,1483,11375,13,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,85300,5585300,West Allis,Absenteeism,total population,1,1,1037,4678,22.2,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,02375,5502375,Appleton,Absenteeism,female,1,2,672,5664,11.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,22300,5522300,Eau Claire,Absenteeism,female,1,2,944,4766,19.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,31000,5531000,Green Bay,Absenteeism,female,1,2,1454,6379,22.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,37825,5537825,Janesville,Absenteeism,female,1,2,723,2892,25,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,39225,5539225,Kenosha,Absenteeism,female,1,2,1357,5382,25.2,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,40775,5540775,La Crosse,Absenteeism,female,1,2,360,1650,21.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,48000,5548000,Madison,Absenteeism,female,1,2,1913,7658,25,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,53000,5553000,Milwaukee,Absenteeism,female,1,2,6176,12272,50.3,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,60500,5560500,Oshkosh,Absenteeism,female,1,2,495,3521,14.1,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,66000,5566000,Racine,Absenteeism,female,1,2,1547,4084,37.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,84250,5584250,Waukesha,Absenteeism,female,1,2,765,5610,13.6,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,85300,5585300,West Allis,Absenteeism,female,1,2,507,2223,22.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,02375,5502375,Appleton,Absenteeism,male,1,3,594,5974,9.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,22300,5522300,Eau Claire,Absenteeism,male,1,3,919,5124,17.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,31000,5531000,Green Bay,Absenteeism,male,1,3,1521,6776,22.4,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,37825,5537825,Janesville,Absenteeism,male,1,3,787,2986,26.4,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,39225,5539225,Kenosha,Absenteeism,male,1,3,1205,5504,21.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,40775,5540775,La Crosse,Absenteeism,male,1,3,318,1781,17.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,48000,5548000,Madison,Absenteeism,male,1,3,1771,8329,21.3,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,53000,5553000,Milwaukee,Absenteeism,male,1,3,6712,12706,52.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,60500,5560500,Oshkosh,Absenteeism,male,1,3,433,3645,11.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,66000,5566000,Racine,Absenteeism,male,1,3,1453,4161,34.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,84250,5584250,Waukesha,Absenteeism,male,1,3,718,5765,12.5,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,85300,5585300,West Allis,Absenteeism,male,1,3,530,2455,21.6,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,02375,5502375,Appleton,Absenteeism,asian,1,4,86,1209,7.1,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,22300,5522300,Eau Claire,Absenteeism,asian,1,4,123,968,12.7,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,31000,5531000,Green Bay,Absenteeism,asian,1,4,129,996,13,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,37825,5537825,Janesville,Absenteeism,asian,1,4,26,120,21.7,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,39225,5539225,Kenosha,Absenteeism,asian,1,4,23,154,14.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,40775,5540775,La Crosse,Absenteeism,asian,1,4,41,312,13.1,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,48000,5548000,Madison,Absenteeism,asian,1,4,189,1390,13.6,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,53000,5553000,Milwaukee,Absenteeism,asian,1,4,328,1278,25.7,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,60500,5560500,Oshkosh,Absenteeism,asian,1,4,42,510,8.2,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,66000,5566000,Racine,Absenteeism,asian,1,4,18,105,17.1,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,84250,5584250,Waukesha,Absenteeism,asian,1,4,39,400,9.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,85300,5585300,West Allis,Absenteeism,asian,1,4,22,141,15.6,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,02375,5502375,Appleton,Absenteeism,black,1,5,132,566,23.3,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,22300,5522300,Eau Claire,Absenteeism,black,1,5,85,247,34.4,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,31000,5531000,Green Bay,Absenteeism,black,1,5,466,1179,39.5,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,37825,5537825,Janesville,Absenteeism,black,1,5,119,336,35.4,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,39225,5539225,Kenosha,Absenteeism,black,1,5,559,1705,32.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,40775,5540775,La Crosse,Absenteeism,black,1,5,68,165,41.2,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,48000,5548000,Madison,Absenteeism,black,1,5,1159,3003,38.6,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,53000,5553000,Milwaukee,Absenteeism,black,1,5,8492,14433,58.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,60500,5560500,Oshkosh,Absenteeism,black,1,5,78,265,29.4,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,66000,5566000,Racine,Absenteeism,black,1,5,1094,2201,49.7,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,84250,5584250,Waukesha,Absenteeism,black,1,5,208,699,29.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,85300,5585300,West Allis,Absenteeism,black,1,5,171,577,29.6,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,02375,5502375,Appleton,Absenteeism,hispanic,1,6,185,1024,18.1,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,22300,5522300,Eau Claire,Absenteeism,hispanic,1,6,126,458,27.5,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,31000,5531000,Green Bay,Absenteeism,hispanic,1,6,1025,4148,24.7,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,37825,5537825,Janesville,Absenteeism,hispanic,1,6,194,691,28.1,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,39225,5539225,Kenosha,Absenteeism,hispanic,1,6,738,2876,25.7,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,40775,5540775,La Crosse,Absenteeism,hispanic,1,6,31,129,24,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,48000,5548000,Madison,Absenteeism,hispanic,1,6,736,3040,24.2,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,53000,5553000,Milwaukee,Absenteeism,hispanic,1,6,2845,6133,46.4,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,60500,5560500,Oshkosh,Absenteeism,hispanic,1,6,75,389,19.3,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,66000,5566000,Racine,Absenteeism,hispanic,1,6,884,2255,39.2,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,84250,5584250,Waukesha,Absenteeism,hispanic,1,6,432,2565,16.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,85300,5585300,West Allis,Absenteeism,hispanic,1,6,333,1105,30.1,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,02375,5502375,Appleton,Absenteeism,white,1,7,806,8632,9.3,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,22300,5522300,Eau Claire,Absenteeism,white,1,7,1379,7716,17.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,31000,5531000,Green Bay,Absenteeism,white,1,7,1013,5822,17.4,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,37825,5537825,Janesville,Absenteeism,white,1,7,1094,4384,25,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,39225,5539225,Kenosha,Absenteeism,white,1,7,1112,5710,19.5,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,40775,5540775,La Crosse,Absenteeism,white,1,7,461,2545,18.1,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,48000,5548000,Madison,Absenteeism,white,1,7,1161,7106,16.3,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,53000,5553000,Milwaukee,Absenteeism,white,1,7,924,2785,33.2,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,60500,5560500,Oshkosh,Absenteeism,white,1,7,674,5681,11.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,66000,5566000,Racine,Absenteeism,white,1,7,923,3437,26.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,84250,5584250,Waukesha,Absenteeism,white,1,7,734,7383,9.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,85300,5585300,West Allis,Absenteeism,white,1,7,418,2605,16,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,02375,5502375,Appleton,Absenteeism,other,1,8,57,207,27.5,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,22300,5522300,Eau Claire,Absenteeism,other,1,8,150,501,29.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,31000,5531000,Green Bay,Absenteeism,other,1,8,342,1010,33.9,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,37825,5537825,Janesville,Absenteeism,other,1,8,77,347,22.2,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,39225,5539225,Kenosha,Absenteeism,other,1,8,130,441,29.5,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,40775,5540775,La Crosse,Absenteeism,other,1,8,77,280,27.5,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,48000,5548000,Madison,Absenteeism,other,1,8,439,1448,30.3,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,53000,5553000,Milwaukee,Absenteeism,other,1,8,299,349,85.7,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,60500,5560500,Oshkosh,Absenteeism,other,1,8,59,321,18.4,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,66000,5566000,Racine,Absenteeism,other,1,8,81,247,32.8,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
WI,55,84250,5584250,Waukesha,Absenteeism,other,1,8,70,328,21.3,-999,-999,-999,-999,-999,2015-2016,city,2021-02-25,11,,
