establishment_name,address,district,inspection_date,establishment_grade
007 FOOD TRUCK,10001 W BLUE MOUND RD,10,6/21/2019,A
1 POPCORN FIELD PORTABLE FP-4 #053 SECTION 116,201 S 46TH ST,10,5/9/2018,A
12 NACHO LOGE PORTABLE #023 SECTION 218,201 S 46TH ST,10,5/8/2019,A
13 MAC N CHEESE FIELD PORTABLE FP-13 #010 SECTION 124,201 S 46TH ST,10,5/8/2019,A
13TH STREET SHELL,6311 S 13TH ST,13,1/31/2018,A
14 DELI FIELD PORTABLE FP-14 #011 SECTION 124,201 S 46TH ST,10,7/25/2018,A
14 DELI LOGE PORTABLE LP-14 #027 SECTION 223,201 S 46TH ST,10,5/8/2019,A
15 DIPPIN DOTS FIELD PORTABLE FP-15 #012 SECTION 127,201 S 46TH ST,10,5/8/2019,A
15 SMOKE SHACK TERRACE PORTABLE TP-15 #047 SECTION 416,2200 E KENWOOD BL,3,7/27/2019,A
16 BPS FIELD PORTABLE FP-16 #013 SECTION 128,201 S 46TH ST,10,5/8/2019,A
18 BPS LOGE PORTABLE LP-18 #030 SECTION 225,201 S 46TH ST,10,5/22/2019,A
19 CUSTARD LOGE PORTABLE LP-19 #031 SECTION 227,201 S 46TH ST,10,5/8/2019,A
1A BPS CLUB PORTABLE CP-1A #037 SECTION SUITE 31,201 S 46TH ST,10,5/22/2019,A
1ST CHOICE,3872 S 92ND ST,11,10/8/2019,A
2 BPS FIELD PORTABLE FP-2 #002 SECTION 103,201 S 46TH ST,10,7/27/2019,A
2 MESA,4110 W MARTIN DR,10,8/6/2019,A
2 SWEET & INTERNATIONAL D,2128 E LOCUST ST,3,10/8/2018,A
22 SMOKE SHACK LOGE PORTABLE LP-22 SECTION 227,201 S 46TH ST,10,5/8/2019,A
23 BPS LOGE PORTABLE LP-23 #033 SECTION 229,201 S 46TH ST,10,5/9/2018,A
23 DIPPIN DOTS TERRACE PORTABLE TP-23 #050 SECTION 43,201 S 46TH ST,10,5/22/2019,A
23 DIPPIN DOTS TERRACE PORTABLE TP-23 #050 SECTION 43,201 S 46TH ST,10,5/22/2019,A
24 CUSTARD LOGE PORTABLE LP-25 #034 SECTION 229,201 S 46TH ST,10,5/22/2019,A
24/7 GAS & FOOD MART,1319 W NORTH AV,,1/30/2020,A
26 SMOKE SHACK TERRACE PORTABLE TP-25 #051 SECTION 434,2200 E KENWOOD BL,3,7/25/2018,A
27 BPS LOGE PORTABLE LP-27 #036 SECTION 234,201 S 46TH ST,10,5/22/2019,A
27TH ST SWEET SHOP,3164 N 27TH ST,7,1/28/2020,P
2B DIPPIN DOTS CLUB PORTABLE CP-2B #040 SECTION SUITE 55,201 S 46TH ST,10,5/9/2018,A
3 HERMANOS CLUB,1332 W LINCOLN AV,12,11/4/2019,A
3 SMOKE SHACK LOGE PORTABLE LP-3 #016 SECTION 211,201 S 46TH ST,10,7/27/2019,A
3041 NORTH,3041 W NORTH AV,15,12/10/2018,A
30TH STREET LIQUOR,2001 N 30TH ST,15,1/14/2020,Temporarily Closed
35TH STREET HOMETOWN,3381 N 35TH ST,7,10/30/2019,A
4 CHEESE CURDS TERRACE PORTABLE TP-4 #043 SECTION 410,201 S 46TH ST,10,5/22/2019,A
42ND STREET BAR AND GRILL,4200 W BURLEIGH ST,7,12/12/2019,A
4TH QUARTER,2722 N MARTIN L KING JR DR,6,10/23/2019,A
5 DIPPIN DOTS LOGE PORTABLE LP-5 #017 SECTION 213,201 S 46TH ST,10,5/8/2019,A
5 MAC N CHEESE FIELD PORTABLE FP-5 #004 SECTION 113,201 S 46TH ST,10,5/9/2018,A
5 STAR GROCERY,5004 W CENTER ST,15,1/10/2020,A
6 CUSTARD LOGE PORTABLE LP-6 #018 SECTION 213,201 S 46TH ST,10,5/8/2019,A
6 DELI FIELD PORTABLE FP-6 #005 SECTION 113,201 S 46TH ST,10,5/9/2018,A
600 EAST CAFE,600 E WISCONSIN AV,4,1/21/2020,A
7 BPS LOGE PORTABLE LP-7 #019 SECTION 215,201 S 46TH ST,10,5/8/2019,A
7-ELEVEN #35836A,1624 W WELLS ST,4,3/9/2018,A
